# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	17438
#@/user_id	965b802b-6d45-476d-ab25-d046d79127f1
a 	啊	c=1 d=1 t=17434
gong ren 	工人	c=1 d=1 t=15754
gong shi 	公式	c=8 d=1.13738 t=17411
gong shi 	共識	c=1 d=1 t=6599
gong shu 	供述	c=1 d=1 t=17271
gong si 	公司	c=2 d=1.0367 t=16510
gong tong 	共同	c=2 d=1 t=17157
gong xian 	貢獻	c=6 d=1 t=11897
gong xiang 	共享	c=8 d=1 t=10855
gong xin 	工薪	c=1 d=1 t=10651
gong xun 	功勳	c=1 d=1 t=2140
gong ye 	工業	c=2 d=1 t=17023
gong you 	共有	c=1 d=1 t=940
gong yuan li 	公園裏	c=1 d=1 t=15615
gong zhi 	公職	c=1 d=1 t=17099
gong zhuo 	供桌	c=4 d=1 t=13761
gong zi 	工資	c=1 d=1 t=17369
gong zuo 	工作	c=23 d=3.51221 t=17347
gong zuo qu 	工作區	c=1 d=1 t=5315
gou 	狗	c=1 d=1 t=16761
gou jian 	構建	c=7 d=1.00001 t=16518
gou mian 	垢面	c=1 d=1 t=17029
gou tong 	溝通	c=2 d=1.49907 t=17365
gou zao 	構造	c=4 d=1 t=8850
gu 	谷	c=1 d=1 t=11830
gu an 	固安	c=1 d=1 t=2039
gu chan 	估產	c=1 d=1 t=3404
gu ding 	固定	c=2 d=1 t=10118
gu er 	孤兒	c=1 d=1 t=3030
gu ge 	谷歌	c=2 d=1.97531 t=15493
gu ji 	估計	c=29 d=3.8969 t=16983
gu jun 	古菌	c=1 d=1 t=3182
gu shi 	故事	c=0 d=0.1 t=10266
gu shi xian 	故事線	c=1 d=1 t=10267
gua 	卦	c=1 d=1 t=14285
gua 	掛	c=1 d=1 t=14193
guan 	管	c=2 d=1.00002 t=4247
guan 	關	c=0 d=0.1 t=17094
guan bi 	關閉	c=4 d=1.98177 t=16445
guan ce 	觀測	c=2 d=1 t=7538
guan cha 	觀察	c=2 d=1.0006 t=6212
guan cha dao 	觀察到	c=0 d=0.1 t=3931
guan cha dao de 	觀察到的	c=1 d=1 t=3932
guan dian 	觀點	c=1 d=1 t=5796
guan jian 	關鍵	c=2 d=1 t=6515
guan jian dian 	關鍵點	c=12 d=1.00007 t=15929
guan jian zi 	關鍵字	c=1 d=1 t=12413
guan jie 	關節	c=1 d=1 t=6363
guan kuan 	管寬	c=1 d=1 t=1278
guan kuo 	管擴	c=1 d=1 t=467
guan li 	慣例	c=4 d=1 t=11608
guan li 	管理	c=13 d=1.00204 t=15341
guan li qi 	管理器	c=2 d=1.96079 t=1606
guan lian 	關聯	c=2 d=1.22764 t=5685
guan mian 	冠冕	c=1 d=1 t=4296
guan xi 	關係	c=5 d=1.0001 t=14479
guan xian 	管線	c=3 d=1.04426 t=7782
guan xian qian 	管線前	c=1 d=1 t=4629
guan yu 	關於	c=8 d=1.33937 t=16478
guan zhu 	關注	c=2 d=1.956 t=5700
guang 	光	c=4 d=2.68369 t=7728
guang bo 	廣播	c=1 d=1 t=15222
guang du 	廣度	c=1 d=1 t=5801
guang fan 	廣泛	c=1 d=1 t=12683
guang kuo 	廣闊	c=1 d=1 t=469
guang pu 	光譜	c=0 d=0.199501 t=1012
guang xian 	光線	c=29 d=1.97045 t=15911
guang xue 	光學	c=1 d=1 t=1014
guang yi 	廣義	c=1 d=1 t=11357
guang yuan 	光源	c=1 d=1 t=7738
guang zhao 	光照	c=1 d=1 t=993
gui 	歸	c=1 d=1 t=3435
gui ding 	規定	c=1 d=1 t=17278
gui fan 	規範	c=1 d=1 t=16721
gui hua 	規劃	c=3 d=2.37211 t=9815
gui ju 	規矩	c=1 d=1 t=17178
gui lv 	規律	c=3 d=1 t=15776
gui yi 	歸一	c=0 d=0.1 t=6276
gui yi hua 	歸一化	c=4 d=1.00016 t=9687
gui ze 	規則	c=5 d=1 t=16452
guo 	過	c=7 d=1.03182 t=15864
guo cheng 	過程	c=18 d=1.39248 t=12277
guo cheng hong 	過程宏	c=2 d=1.96561 t=5583
guo cheng zhong 	過程中	c=1 d=1 t=4642
guo da 	過大	c=1 d=1 t=6263
guo dao 	國道	c=1 d=1 t=14368
guo duo 	過多	c=1 d=1 t=1460
guo guo 	果果	c=1 d=1 t=1459
guo ji 	國際	c=1 d=1 t=16980
guo jia 	國家	c=9 d=1.92164 t=17374
guo lv 	過濾	c=8 d=1 t=12128
guo ni he 	過擬合	c=3 d=1 t=13863
guo nian 	過年	c=1 d=1 t=209
guo qu 	過去	c=2 d=1 t=13709
guo shi 	國士	c=1 d=1 t=15648
guo shi 	過時	c=1 d=1 t=13817
guo xiang 	郭翔	c=1 d=1 t=16884
guo yi hui 	過一會	c=1 d=1 t=15003
guo zhai 	國債	c=1 d=1 t=3941
ha ha 	哈哈	c=1 d=1 t=15744
ha sang 	哈桑	c=1 d=1 t=2903
hai 	還	c=3 d=1 t=16560
hai de 	還得	c=2 d=1 t=16930
hai hao 	還好	c=1 d=1 t=13034
hai hen 	還很	c=0 d=0.1 t=10469
hai hen chang 	還很長	c=1 d=1 t=10470
hai lu 	海路	c=0 d=0.1 t=15833
hai lu chun 	海路純	c=1 d=1 t=15834
hai shi 	還是	c=21 d=1.97585 t=15835
hai shuo 	還說	c=1 d=1 t=14791
hai tao 	海濤	c=1 d=1 t=792
hai xu yao 	還需要	c=2 d=1 t=4940
hai yao 	還要	c=3 d=1.00001 t=11972
hai you 	還有	c=5 d=1.00425 t=16525
hai zai 	還在	c=1 d=1 t=13247
hai zi 	孩子	c=1 d=1 t=13245
hai zi men 	孩子們	c=0 d=0.1 t=13301
han 	韓	c=2 d=1.99005 t=16049
han chuang 	寒窗	c=1 d=1 t=557
han gai 	涵蓋	c=1 d=1 t=5076
han ju 	韓劇	c=5 d=1 t=10937
han shu 	函數	c=72 d=4.86932 t=16709
han shu shi 	函數是	c=1 d=1 t=16650
hang 	行	c=2 d=1 t=15968
hang shi 	夯實	c=1 d=1 t=13724
hang ye 	行業	c=2 d=1.95123 t=15206
hao 	好	c=12 d=1 t=17430
hao 	號	c=1 d=0.100087 t=3005
hao chi 	好喫	c=1 d=1 t=1222
hao hao 	好好	c=2 d=1 t=15743
hao peng you 	好朋友	c=1 d=1 t=14880
hao qi 	好奇	c=1 d=1 t=13328
hao tian 	浩田	c=1 d=1 t=3148
hao yong 	好用	c=1 d=1 t=2209
hao you 	好友	c=1 d=1 t=14797
hao zai 	好在	c=2 d=1 t=15825
he 	何	c=4 d=1.0003 t=8421
he 	和	c=340 d=2.02658 t=17175
he 	喝	c=0 d=0.1 t=4341
he 	核	c=13 d=1.01918 t=13785
he bing 	合併	c=3 d=1.9802 t=12549
he cheng 	合成	c=8 d=1.12209 t=7641
he chong 	何翀	c=2 d=1 t=14247
he ji 	合集	c=1 d=1 t=5357
he ju 	何懼	c=1 d=1 t=260
he li 	合理	c=4 d=1.99005 t=14258
he shi 	何時	c=1 d=1 t=14867
he xin 	核心	c=9 d=2.38841 t=12230
he yi dong 	和移動	c=1 d=1 t=3202
hen 	很	c=5 d=1 t=15997
hen ai 	很愛	c=0 d=0.1 t=14015
hen ben 	很笨	c=0 d=0.1 t=10425
hen cha 	很差	c=3 d=1.96561 t=16325
hen da 	很大	c=3 d=1 t=15933
hen duo 	很多	c=1 d=1 t=14321
hen fu he 	很符合	c=1 d=1 t=10127
hen hao 	很好	c=4 d=1.51427 t=15381
hen jian dan 	很簡單	c=2 d=1 t=15660
hen kuai 	很快	c=2 d=1.0153 t=17409
hen man 	很慢	c=3 d=1.02522 t=13440
hen nan 	很難	c=1 d=1 t=286
hen qiang 	很強	c=1 d=1 t=3163
hen qing xi 	很清晰	c=1 d=1 t=9358
hen shao 	很少	c=2 d=1 t=10923
hen yuan 	很遠	c=1 d=1 t=15528
hen zhong 	很重	c=1 d=1 t=13120
hen zhong yao 	很重要	c=2 d=1.03371 t=3158
heng deng 	恆等	c=1 d=1 t=1655
heng ye 	哼業	c=1 d=1 t=15195
hong 	宏	c=6 d=4.67809 t=5578
hong shui 	洪水	c=1 d=1 t=13584
hong wai 	紅外	c=1 d=1 t=1162
hou 	侯	c=1 d=1 t=13868
hou 	後	c=9 d=0.100949 t=16759
hou chu li 	後處理	c=1 d=1 t=978
hou duan 	後端	c=1 d=1 t=16893
hou hou 	厚厚	c=1 d=1 t=13191
hou hua 	後話	c=1 d=1 t=4122
hou ji 	後記	c=1 d=1 t=13459
hou lai 	後來	c=5 d=1.58769 t=16593
hou mian 	後面	c=4 d=1 t=15773
hou tai 	後臺	c=1 d=1 t=13850
hou xu 	後續	c=2 d=1 t=14302
hou zhe 	後者	c=1 d=1 t=3490
hou zi 	猴子	c=1 d=1 t=12442
hu 	胡	c=2 d=1 t=13876
hu lve 	忽略	c=3 d=1 t=15695
hu ma 	呼瑪	c=0 d=0.1 t=6405
hu ma nian 	呼瑪唸	c=2 d=1.99501 t=6407
hu wei 	互爲	c=1 d=1 t=15030
hu yang 	湖羊	c=2 d=1.99005 t=15216
hua 	化	c=13 d=1.00221 t=14190
hua 	畫	c=1 d=1 t=13553
hua 	華	c=1 d=1 t=680
hua 	話	c=8 d=1.06654 t=15168
hua dong 	滑動	c=1 d=1 t=3520
hua fen 	劃分	c=1 d=1 t=15431
hua hang 	華航	c=0 d=0.1 t=6571
hua hua 	花花	c=1 d=1 t=15572
hua le 	花了	c=1 d=1 t=16727
hua ming 	花名	c=1 d=1 t=14967
hua sheng 	花生	c=1 d=1 t=16999
hua shu 	花束	c=0 d=0.1 t=771
hua ti 	花體	c=2 d=1.98511 t=14444
hua tu 	畫圖	c=1 d=1 t=8667
hua xing 	滑行	c=0 d=0.1 t=7560
hua zen fan 	化怎反	c=1 d=1 t=6902
huan 	換	c=2 d=0.10003 t=14624
huan chong qu 	緩衝區	c=1 d=1 t=2450
huan cun 	緩存	c=3 d=1 t=13650
huan dao 	環島	c=1 d=1 t=15682
huan de 	換得	c=0 d=0.1 t=2412
huan jie 	緩解	c=2 d=1.99005 t=14182
huan le 	換了	c=2 d=1.86502 t=14999
huan man 	緩慢	c=1 d=1 t=7110
huang 	黃	c=1 d=1 t=791
huang chong 	蝗蟲	c=1 d=1 t=648
hui 	會	c=18 d=1.11767 t=15947
hui 	輝	c=2 d=1.00024 t=15943
hui ba 	會把	c=1 d=1 t=1826
hui bao 	彙報	c=1 d=1 t=8424
hui bian 	彙編	c=4 d=1 t=5626
hui chan cheng 	會禪城	c=1 d=1 t=5634
hui da 	回答	c=3 d=1 t=15333
hui dao 	回到	c=1 d=1 t=13210
hui diao 	毀掉	c=1 d=1 t=11576
hui du 	灰度	c=2 d=1.99005 t=2145
hui dui 	會對	c=1 d=1 t=12689
hui fang 	回放	c=1 d=1 t=11956
hui fu 	回覆	c=1 d=1 t=12027
hui fu 	恢復	c=3 d=1 t=17098
hui gui 	回歸	c=3 d=0.109902 t=15038
hui gui zhi 	回歸志	c=1 d=1 t=827
hui hua 	會話	c=1 d=1.08353 t=3041
hui hua hao 	會話號	c=1 d=1 t=3006
hui hui 	回回	c=1 d=1 t=9138
hui jia 	回家	c=3 d=2.57149 t=313
hui su 	回溯	c=6 d=3.12568 t=11727
hui xin 	回信	c=1 d=1 t=15913
hui yi 	會議	c=2 d=1 t=15235
hui you 	會有	c=2 d=1 t=3636
hui zen yang 	會怎樣	c=1 d=1 t=10636
hui zhang 	會長	c=1 d=1 t=3644
hun he 	混合	c=8 d=1.00004 t=17066
hun xiao 	混淆	c=1 d=1 t=1563
huo 	或	c=7 d=2.00014 t=10423
huo ban 	夥伴	c=1 d=1 t=13288
huo de 	獲得	c=0 d=0.1 t=13769
huo de gan 	獲得感	c=1 d=1 t=13770
huo hu 	火狐	c=1 d=1 t=14371
huo qu 	獲取	c=4 d=1 t=17043
huo shi 	或是	c=1 d=1 t=10101
huo zhe 	或者	c=23 d=1.95419 t=17153
ji 	即	c=2 d=1 t=12234
ji 	及	c=7 d=2.50009 t=13935
ji 	基	c=0 d=0.1 t=15951
ji 	季	c=0 d=0.1 t=14586
ji 	機	c=2 d=0.100022 t=11844
ji 	級	c=3 d=1.12938 t=8307
ji 	記	c=1 d=1 t=14168
ji 	集	c=3 d=1.06424 t=14851
ji ben 	基本	c=20 d=1.21395 t=13434
ji ben fa 	基本法	c=1 d=1 t=10842
ji bie 	級別	c=1 d=1 t=13679
ji ceng 	基層	c=2 d=1 t=17133
ji ceng 	幾層	c=2 d=1 t=17131
ji cheng 	繼承	c=1 d=1 t=5688
ji cheng 	集成	c=19 d=1 t=16887
ji chu 	基礎	c=14 d=1 t=16696
ji chu kuai 	基礎塊	c=1 d=1 t=10840
ji chu shang 	基礎上	c=4 d=1.00332 t=9678
ji cun 	寄存	c=2 d=0.103269 t=12930
ji cun qi 	寄存器	c=13 d=1.19309 t=12398
ji cun qi ne 	寄存器呢	c=1 d=1 t=11604
ji da 	極大	c=1 d=1 t=6711
ji de 	記得	c=1 d=1 t=14669
ji dian 	幾點	c=1 d=1 t=3218
ji dong 	激動	c=1 d=1 t=7128
ji fen 	積分	c=57 d=1 t=15900
ji fen fa 	積分法	c=1 d=1 t=8003
ji ge 	幾個	c=9 d=1.99501 t=16223
ji ge bie 	極個別	c=1 d=1 t=9735
ji guan 	機關	c=2 d=1 t=17174
ji he 	幾何	c=10 d=0.100509 t=6123
ji he 	集合	c=1 d=1 t=14415
ji he xin xi 	集合信息	c=1 d=1 t=3323
ji hua 	計劃	c=5 d=1 t=15146
ji hui 	機會	c=2 d=1 t=14784
ji huo 	激活	c=5 d=1 t=16966
ji ju 	急劇	c=1 d=1 t=15920
ji ke 	即可	c=1 d=1 t=5179
ji ke yi 	既可以	c=1 d=1 t=10161
ji le yi xie 	記了一些	c=1 d=1 t=6075
ji lei 	基類	c=2 d=1.51427 t=9149
ji lei 	積累	c=4 d=2.312 t=9178
ji li 	激勵	c=1 d=1 t=196
ji lian 	級聯	c=2 d=1.95123 t=3474
ji lu 	記錄	c=6 d=1.02645 t=10375
ji lu pian 	紀錄片	c=1 d=1 t=17009
ji lv 	紀律	c=1 d=1 t=17313
ji qi 	及其	c=4 d=1.01827 t=8369
ji qi 	機器	c=6 d=1.00017 t=16843
ji qi ma 	機器碼	c=1 d=1 t=11807
ji qiao 	技巧	c=3 d=1.99005 t=12778
ji ran 	既然	c=1 d=1 t=9543
ji sheng 	計生	c=3 d=1.32177 t=4465
ji shi 	即使	c=3 d=1 t=17219
ji shi 	及時	c=2 d=1 t=17220
ji shu 	技術	c=14 d=1.00035 t=15914
ji shu 	計數	c=3 d=1 t=3702
ji si lu 	集思路	c=1 d=1 t=14059
ji suan 	計算	c=51 d=1.00607 t=17059
ji suan ji 	計算機	c=4 d=1 t=15958
ji suan tu 	計算圖	c=3 d=1.01333 t=7861
ji ta pu 	吉他譜	c=1 d=1 t=14233
ji tuan 	集團	c=1 d=1 t=9983
ji wei 	極爲	c=1 d=1 t=11850
ji xian 	基線	c=1 d=1 t=3161
ji xin 	己心	c=1 d=1 t=696
ji xu 	繼續	c=3 d=1.07172 t=5468
ji ya 	擠壓	c=1 d=1 t=9371
ji yi 	記憶	c=1 d=1 t=13185
ji yin 	基因	c=1 d=1 t=9886
ji yu 	基於	c=46 d=1.00018 t=13932
ji yu 	給予	c=2 d=1.48191 t=17280
ji zheng 	急症	c=1 d=1 t=16539
ji zhi 	極致	c=1 d=1 t=3588
ji zhi 	機制	c=7 d=1.00014 t=16871
ji zhong 	集中	c=6 d=2.15031 t=16540
ji zhong zhi 	集中制	c=1 d=1 t=17294
ji zhun 	基準	c=1 d=1 t=6469
jia 	加	c=2 d=1 t=12598
jia 	家	c=1 d=1 t=7184
jia fa 	加法	c=2 d=1.0014 t=10010
jia fen 	加分	c=1 d=1 t=8695
jia ge 	價格	c=4 d=3.74402 t=17072
jia gong 	加工	c=1 d=1 t=7407
jia gou 	架構	c=11 d=1.47224 t=12917
jia huo 	傢伙	c=1 d=1 t=15731
jia kuan 	價款	c=1 d=1 t=10811
jia kuan 	加寬	c=1 d=1 t=10812
jia li 	家裏	c=1 d=1 t=16900
jia qi 	假期	c=1 d=1 t=345
jia qiang 	加強	c=2 d=1 t=17286
jia quan 	加權	c=1 d=0.694521 t=4341
jia quan 	甲醛	c=0 d=0.1 t=4235
jia quan he 	加權喝	c=1 d=1 t=4342
jia quan he 	甲醛和	c=1 d=1 t=4236
jia ren 	家人	c=1 d=1 t=730
jia ru 	加入	c=2 d=1 t=9994
jia shang 	加上	c=3 d=1.97045 t=16492
jia she 	假設	c=8 d=1.00013 t=13436
jia shen 	加深	c=2 d=1 t=15327
jia shi 	駕駛	c=1 d=1 t=11496
jia su 	加速	c=3 d=1.36389 t=8150
jia zai 	加載	c=5 d=2.51814 t=11638
jia zhi 	價值	c=1 d=1 t=5780
jia zhong 	加重	c=2 d=1 t=17154
jia zhong 	家中	c=1 d=1 t=12153
jian 	間	c=6 d=1.0002 t=11248
jian bian 	簡便	c=1 d=1 t=6495
jian ce 	檢測	c=22 d=1 t=16951
jian cha 	檢查	c=5 d=1.42742 t=17274
jian cha 	監察	c=2 d=1.99005 t=17377
jian cheng 	建成	c=1 d=1 t=3029
jian chi 	堅持	c=5 d=2.77275 t=17255
jian dan 	簡單	c=12 d=1.00025 t=16830
jian ding 	堅定	c=1 d=1 t=13731
jian ding 	鑑定	c=1 d=1 t=13727
jian du 	監督	c=4 d=1.57984 t=17332
jian duan 	簡短	c=2 d=1.44933 t=2831
jian duan 	間斷	c=1 d=1 t=2670
jian guo 	見過	c=1 d=1 t=13490
jian kang 	健康	c=2 d=1 t=16875
jian kong 	監控	c=7 d=1.50409 t=17050
jian li 	建立	c=2 d=0.100001 t=3726
jian li chu 	建立出	c=1 d=1 t=3727
jian man 	減慢	c=1 d=1 t=5905
jian mo 	建模	c=6 d=1.07096 t=15107
jian pan 	鍵盤	c=5 d=1.00335 t=17424
jian qie ban 	剪切板	c=1 d=1 t=2125
jian qing chu fen 	減輕處分	c=1 d=1 t=17163
jian quan 	健全	c=1 d=1 t=17327
jian rong 	兼容	c=1 d=1 t=1620
jian rui 	尖銳	c=1 d=1 t=1332
jian shan 	肩山	c=1 d=1 t=367
jian shao 	減少	c=3 d=1 t=17415
jian suo 	檢索	c=2 d=1.95123 t=6541
jian ti 	簡體	c=2 d=1.99501 t=2092
jian xiao 	減小	c=6 d=1.96218 t=10021
jian xiao le 	減小了	c=1 d=1 t=8030
jian xing 	踐行	c=2 d=1.9802 t=10457
jian yan 	檢驗	c=1 d=1 t=15474
jian yao 	簡要	c=1 d=1 t=7647
jian yi 	建議	c=7 d=1.62814 t=16327
jian yi hong 	簡亦弘	c=1 d=1 t=16384
jian zheng 	見證	c=1 d=1 t=10390
jian zhi 	剪枝	c=2 d=1.79453 t=6275
jian zhi 	簡直	c=1 d=1 t=6226
jiang 	將	c=9 d=1 t=7186
jiang 	講	c=14 d=1.80909 t=12796
jiang 	降	c=1 d=1 t=8782
jiang ba 	將把	c=1 d=1 t=13743
jiang de 	講的	c=1 d=1 t=5833
jiang di 	降低	c=1 d=1 t=16102
jiang ji 	降級	c=2 d=1.07654 t=17373
jiang jie 	講解	c=3 d=1.02193 t=5826
jiang jiu 	講究	c=1 d=1 t=10362
jiang wei 	將爲	c=1 d=1 t=296
jiang wei 	降維	c=1 d=1 t=1625
jiang zhi 	降職	c=1 d=1 t=17246
jiao 	角	c=0 d=0.1 t=4583
jiao ben 	腳本	c=2 d=1 t=13810
jiao cha 	交叉	c=4 d=1 t=15437
jiao da 	較大	c=1 d=1 t=12756
jiao di 	較低	c=1 d=1 t=4360
jiao dian 	焦點	c=1 d=1 t=1030
jiao dian 	角點	c=1 d=1 t=1035
jiao du 	角度	c=5 d=1.00403 t=8657
jiao hao 	較好	c=3 d=1.0589 t=8289
jiao hu 	交互	c=4 d=1.00283 t=7701
jiao hua 	狡猾	c=1 d=1 t=6512
jiao ji 	交集	c=1 d=1 t=15842
jiao ji 	焦急	c=1 d=1 t=4318
jiao lian 	鉸鍊	c=1 d=1 t=14403
jiao liu 	交流	c=2 d=1.97531 t=2248
jiao qiang 	較強	c=1 d=1 t=7643
jiao ren 	叫人	c=1 d=1 t=15627
jiao rong 	交融	c=1 d=1 t=10163
jiao tan 	交談	c=1 d=1 t=521
jiao tong 	交通	c=1 d=1 t=14446
jiao xin 	交心	c=1 d=1 t=14901
jiao xue 	教學	c=1 d=1 t=14251
jiao yu 	教育	c=1 d=1 t=17007
jiao yue 	校閱	c=1 d=1 t=16986
jiao zheng 	矯正	c=1 d=1 t=4635
jiao zhun 	校準	c=2 d=1.00001 t=3422
jie 	接	c=0 d=0.1 t=4570
jie 	結	c=0 d=0.1 t=12024
jie 	解	c=4 d=0.480983 t=14396
jie 	階	c=0 d=0.1 t=7585
jie bu 	皆不	c=0 d=0.1 t=10486
jie bu tong 	皆不同	c=1 d=1 t=10487
jie ce 	接測	c=1 d=1 t=1027
jie chu 	接觸	c=0 d=0.1 t=13938
jie di qi 	接地氣	c=1 d=1 t=15551
jie dian 	節點	c=4 d=1 t=6276
jie du 	解讀	c=2 d=1.97531 t=2104
jie duan 	截斷	c=1 d=1 t=9530
jie duan 	階段	c=15 d=1 t=14602
jie gou 	結構	c=31 d=1 t=16192
jie gou 	解構	c=1 d=1 t=5487
jie gou ti 	結構體	c=8 d=1 t=17001
jie guo 	結果	c=60 d=1.16763 t=17359
jie he 	結合	c=8 d=1 t=12791
jie hou 	節後	c=0 d=0.1 t=5305
jie hou ti 	節後體	c=1 d=1 t=5306
jie hun 	結婚	c=1 d=1 t=526
jie jie 	姐姐	c=2 d=1.0099 t=1245
jie jin 	接近	c=2 d=1 t=7173
jie ju 	結局	c=1 d=1 t=13155
jie ju ti 	解具體	c=1 d=1 t=14397
jie jue 	解決	c=14 d=1.06114 t=17235
jie kou 	接口	c=3 d=1 t=17391
jie lun 	結論	c=1 d=1 t=14482
jie ma 	解碼	c=3 d=2.85607 t=15061
jie ma qi 	解碼器	c=1 d=1 t=1849
jie mian 	界面	c=2 d=1 t=14082
jie mu 	節目	c=-1 d=0 t=746
jie pou 	解剖	c=2 d=1.94649 t=2120
jie qu 	截取	c=1 d=1 t=17398
jie ru 	介入	c=0 d=0.1 t=13847
jie ru 	接入	c=1 d=1 t=13849
jie ru ceng 	介入層	c=1 d=1 t=13848
jie shang 	接上	c=1 d=1 t=528
jie shao 	介紹	c=5 d=1.0084 t=16161
jie shao le 	解少了	c=1 d=1 t=7412
jie shi 	解釋	c=1 d=1 t=16204
jie shou 	接受	c=1 d=0.102567 t=15243
jie shou lv 	接受率	c=1 d=1 t=15244
jie shu 	結束	c=1 d=1 t=14593
jie tai 	解太	c=1 d=1 t=10930
jie wei 	結尾	c=2 d=1.77105 t=11364
jie xi 	解析	c=5 d=1.01105 t=17405
jie xia lai 	接下來	c=4 d=1.5981 t=16609
jie xing 	戒行	c=1 d=1 t=16925
jie ya 	解壓	c=2 d=1 t=16396
jie yong 	借用	c=4 d=2.52745 t=5731
jie you 	皆有	c=1 d=1 t=5939
jie yue 	解約	c=1 d=1 t=14230
jie yue han shu 	階越函數	c=1 d=1 t=7586
jie zhi chang ai 	結直腸癌	c=1 d=1 t=12025
jie zhui gan 	接追趕	c=1 d=1 t=4571
jin 	僅	c=1 d=1 t=6447
jin 	緊	c=2 d=1.00449 t=1831
jin 	近	c=3 d=1.00001 t=6444
jin 	進	c=1 d=1 t=1832
jin bao 	勁爆	c=1 d=1 t=16084
jin cheng 	進程	c=9 d=1 t=13711
jin cheng zu 	進程組	c=2 d=1.85214 t=3040
jin du 	進度	c=1 d=1 t=5908
jin er 	進而	c=2 d=1 t=13707
jin guan 	儘管	c=7 d=1.16122 t=16715
jin hua 	進化	c=5 d=1.99005 t=17410
jin hua shu 	緊花束	c=1 d=1 t=772
jin hua shu 	進化樹	c=1 d=1 t=776
jin jin 	僅僅	c=10 d=1 t=16527
jin jin 	緊緊	c=1 d=1 t=13570
jin lai 	近來	c=8 d=1 t=15809
jin lai 	進來	c=2 d=1 t=6292
jin le 	盡了	c=1 d=1 t=1685
jin lin 	近鄰	c=5 d=4.61597 t=1925
jin nian 	今年	c=6 d=1 t=14506
jin si 	近似	c=6 d=0.1 t=14411
jin si jie 	近似解	c=1 d=1 t=7394
jin si le 	近似了	c=1 d=1 t=7482
jin si qi 	近似器	c=1 d=1 t=14412
jin si wei 	近似爲	c=1 d=1 t=4337
jin tian 	今天	c=2 d=1 t=14523
jin xia 	今夏	c=0 d=0.1 t=12416
jin xia lai 	今夏來	c=1 d=1 t=12417
jin xin 	盡心	c=1 d=1 t=3765
jin xing 	進行	c=43 d=1.00005 t=17337
jin yao 	緊要	c=1 d=1 t=14142
jin yi bu 	進一步	c=6 d=1 t=14030
jin zai 	盡在	c=1 d=1 t=7308
jin zhan 	進展	c=2 d=1 t=15116
jin zhi 	禁止	c=1 d=1 t=16453
jing 	經	c=0 d=0.1 t=5493
jing bao 	警報	c=2 d=1.94176 t=16085
jing dan 	經但	c=1 d=1 t=3221
jing dian 	經典	c=7 d=2.97521 t=13207
jing du 	精度	c=3 d=1 t=13961
jing du 	精讀	c=5 d=1 t=13960
jing gao 	警告	c=3 d=1 t=17319
jing guo 	經過	c=8 d=1.01158 t=12203
jing jian 	精簡	c=1 d=1 t=14473
jing jing 	靜靜	c=1 d=1 t=14721
jing li 	精力	c=1 d=1 t=117
jing li 	經歷	c=3 d=1 t=13250
jing mian 	鏡面	c=2 d=1.00287 t=4541
jing shang 	經商	c=1 d=1 t=17312
jing shen 	精神	c=1 d=1 t=15934
jing tai 	靜態	c=6 d=1.02573 t=11664
jing tai zhi 	經太直	c=1 d=1 t=5494
jing tai zhi 	靜態值	c=2 d=1.97531 t=5500
jing tong 	精通	c=3 d=1 t=16412
jing wei fen ming 	涇渭分明	c=1 d=1 t=10165
jing xi 	精細	c=3 d=1.02065 t=16352
jing xi 	驚喜	c=1 d=1 t=15579
jing xiang 	鏡像	c=2 d=1 t=13243
jing xing 	井陘	c=1 d=1 t=2189
jing yan 	經驗	c=2 d=1.73345 t=10287
jing yan 	驚豔	c=1 d=1 t=15522
jing yu 	境遇	c=1 d=1 t=10486
jing zhun 	精準	c=1 d=1 t=14053
jing zhun xu mu 	精準序幕	c=1 d=1 t=2031
jing zi 	鏡子	c=1 d=1 t=14645
jiu 	就	c=31 d=1.90548 t=16647
jiu gai 	就該	c=1 d=1 t=9844
jiu gei 	就給	c=1 d=1 t=507
jiu hao 	就好	c=1 d=1 t=5008
jiu jiao 	就叫	c=1 d=1 t=11335
jiu ke yi 	就可以	c=3 d=1.00254 t=12309
jiu shi 	就是	c=51 d=1.17717 t=16684
jiu shu chu 	就輸出	c=1 d=1 t=11513
jiu tian 	九天	c=1 d=1 t=15638
jiu xiang 	就像	c=3 d=1.94013 t=10294
jiu yao 	就要	c=1 d=1 t=701
jiu zai 	就在	c=2 d=1.02149 t=15536
ju 	句	c=1 d=1 t=15181
ju 	局	c=3 d=1.84789 t=15212
ju 	據	c=1 d=1 t=1292
ju bu 	局部	c=6 d=1.78663 t=11375
ju bu xing 	局部性	c=4 d=3.83097 t=12493
ju da 	巨大	c=1 d=1 t=12608
ju he 	聚合	c=2 d=1 t=9046
ju ji 	聚集	c=2 d=1 t=14414
ju jiao 	聚焦	c=5 d=1 t=14112
ju jiao yu 	聚焦於	c=1 d=1 t=4038
ju jie 	拒接	c=1 d=1 t=1583
ju ju 	句句	c=1 d=1 t=13368
ju lei 	聚類	c=2 d=1.99501 t=1128
ju li 	距離	c=22 d=1.00166 t=16806
ju li zhi 	局理智	c=1 d=1 t=3782
ju liao 	詎料	c=1 d=1 t=3715
ju ming 	劇名	c=1 d=1 t=5640
